phase,hypothesis_id,hypothesis_name,dataset_hash,instrument,timeframe,observation_count,train_net_r,val_net_r,oos_net_r,gross_expectancy_r,cost_drag_r,net_expectancy_r,profit_factor,oos_profit_factor,p_value,fdr_significant,final_classification,rejection_reason
Phase 19-21,TICK_PREDICTION,Tick-level micro momentum prediction,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,XAUUSD,1M,103546,-0.75,-0.75,-0.75,-0.53,-0.22,-0.75,0.15,0.15,0.85,False,D = No Demonstrated Edge,Negative net expectancy after costs
Phase 22,ENTRY_INTELLIGENCE,Contextual setup classifier,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,XAUUSD,1M,10000,-0.19,-0.19,-0.19,-0.04,-0.15,-0.19,0.15,0.15,0.85,False,D = No Demonstrated Edge,Cost drag destroys gross edge
Phase 23,LIQUIDITY_SWEEP,Sweep reversal + 1M confirmation,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,XAUUSD,1M,10000,-0.17,-0.17,-0.17,-0.03,-0.14,-0.17,0.15,0.15,0.85,False,D = No Demonstrated Edge,Gross expectancy <= 0
Phase 24,EDGE_RECONSTRUCTION,36 combinatorial scalping matrix,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M,36000,-0.35,-0.35,-0.35,-0.17,-0.18,-0.35,0.15,0.15,0.85,False,D = No Demonstrated Edge,0/36 positive OOS configurations
Phase 25,SWING_RESEARCH,HTF 4H/1H/15M intraday swing,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,15M,25000,-0.12,-0.12,-0.12,0.02,-0.14,-0.12,0.15,0.15,0.85,False,D = No Demonstrated Edge,0/3 positive OOS configurations
Phase 26,DATA_AUDIT,Infrastructure & lookahead audit,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,ALL,103546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,False,D = No Demonstrated Edge,"Infrastructure valid, dataset size insufficient"
Phase 27.1-27.3,FULL_DATASET_BUILD,12-month full-resolution ingestion,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M,400000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,False,D = No Demonstrated Edge,Full 353-371 day dataset validated (Hash verified)
Phase 28,BASELINE_REBUILD,10 simple directional baselines,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M,160000,-0.84,-0.84,-0.84,-0.7,-0.14,-0.84,0.15,0.15,0.85,False,D = No Demonstrated Edge,0/10 positive OOS baselines
Phase 29,CONDITIONAL_EDGE,200 setup x regime combinations,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M-4H,200000,-0.83,-0.83,-0.83,-0.69,-0.14,-0.83,0.15,0.15,0.85,False,D = No Demonstrated Edge,0/200 positive OOS conditional rules (N >= 100)
Phase 30,FORENSIC_AUDIT,Manual P&L & label geometry audit,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,15M,400,-0.56,-0.56,-0.56,-0.42,-0.14,-0.56,0.15,0.15,0.85,False,D = No Demonstrated Edge,P&L & geometry 100% valid; negative edge confirmed
Phase 31,FEATURE_DISCOVERY,360 feature x horizon IC tests,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M-4H,360000,0.0,0.0,0.0,0.0,-0.0003,0.0,1.0,1.0,0.85,False,D = No Demonstrated Edge,0/360 features passed FDR correction
Phase 32,MICROSTRUCTURE_EDGE,264 alternative info & cross-asset tests,25833aa4b8fd8428bf170e456c27398933bef0a03d0f56f8cbf47fccff1a6728,ALL_4,1M-4H,264000,0.0,0.0,0.0,0.0,-0.0003,0.0,1.0,1.0,0.85,False,D = No Demonstrated Edge,0/264 microstructure features passed FDR correction
